Partnumber,Package,Value,Tolerance
8900521151,0617,15R,5%
8905959889,SOT353,74HC1G125GW,
890901681101,QFN-16,MPQ2023GRE-0022-,
8909B0605701,FVBGA,MTFC32GAZAQHD-AA,
8900629689,0204,825k,1%
1267361699,0603,13k,1%
8908418089,,ABC2012-M-300,
8900132589,0805,2.2k,1%
890013274301,0402,4.64k,1%
8909006739,LQFP144,R7F701336EAFP,
1267367371,11.6mm x 1.3mm x 13.1mm,MTFC128GBCAVTC-A,
890901213801,DPAK-5,NCV5661DT18RKG,
8905503299,0805,237R,1%
3330A30219,,undefined,
8905509131,PG-DSO-14-22,TLE4207G,
890901518001,LQFP80,R7F7016884AFP-C,
1267362741,0402,4.22k,1%
8909014819,SO8,TJA1044CT/0Z,
8900625391,0204,8.66k,1%
8909B0557101,4040DD,6.8uH,
8905507769,0805,220R,1%
8909013401,VFQFPN56,STA8089GA-BG,
8909B03179,0402,3.01k,1%
8900633249,0204,31.6R,1%
2227331051,,100uF,20%
8902002469,1206,82nF,10%
890900910401,0402,5.11k,1%
8902912101,,10nF,5%
8909B0612601,VQFN-32,6PAIC3109TWRHMRQ,
8909B0725001,BGA1022,R8A779MBJA60BA#Y,
890901417301,SOT1205 (LFPAK56D),BUK9K12-60E,
8900106452,0204,54.9k,1%
0272230122,SIL21,SJ-44D,
8902236202,,360pF,5%
1270C63632,,ERF8-020-05.0-S-,
1267367372,UQFN (16) 2.60 mm * 1.80 mm,H14T245QRSVRQ1-N,
8900625392,0204,8.87k,1%
8909013402,0402,6.8k,0.1%
8905509132,QFP80,MC9S12P96CQKx,
8900521152,0617,150R,5%
1267362742,0402,1.33k,0.1%
8900521153,0617,1.5k,5%
8902236203,,360pF,5%
8909000103,SOIC32,MCZ33905BS5EK (P,
1277332043,,1260uF,5%
8900106453,0204,56.2k,1%
1267362743,0402,1.3k,0.1%
8909013403,0402,6.8k,0.1%
86388E3873,,2305987-3,
8900625393,0204,9.09k,1%
1267367373,SOT (SC-70),SN74AHC1G08QDCKR,
8900106454,0204,57.6k,1%
8909013404,0402,6.8k,0.1%
1267367374,LFBGA 11.5mm * 13mm * 1.3mm,IC-Chip; MTFC256,
8905504714,TQFP100EP,CS251BC,
1277332044,,420uF,5%
8950156184,0805,18k,1%
8900521154,0617,15k,5%
1267362744,0402,27R,1%
86388E3874,,UTCXRXX11001SX-6,
8900625394,0204,9.31k,1%
1270KC0644,,,
8902912105,,15nF,5%
8905504715,LQFP32,MC33912BAC,
1267367375,TSSOP 16,TLC6C598QPWRQ1,
8900106455,0204,59k,1%
8900521155,0617,150k,5%
8900625395,0204,9.53k,1%
1267362745,0402,1R,1%
8909013405,,,
1267367376,SOT (SC-70) * DCK,SN74LVC1G08QDCKR,
8909013406,,LPJK9436-7CNL,
1267362746,0402,80.6k,1%
8900106456,0204,60.4k,1%
8900625396,0204,9.76k,1%
8900521156,0617,1.5M,5%
8905509137,PG-TO252-3(DPAK),IHD06N60RA,
8902268407,,68nF,10%
8900521157,0617,15M,5%
8909013407,,HT20E525ST,
1267362747,0402,32.4k,1%
8900106457,0204,61.9k,1%
8909016440,0805,4.7nF,10%
8909B01050,SOT89,PBSS4032NX,
8905503300,0805,30.1k,1%
8909009580,0603,0441 006.WRA,
3330A30220,,undefined,
8900629670,0204,523k,1%
8905509138,TSOP48,S29AL008J70TFM02,
1267362748,0402,44.2k,1%
1274486710,,undefined,
8909006720,e39RA,40MHz,
8902002450,1206,2.2nF,10%
8905507750,0805,1.21k,1%
6002JM0630,,undefined,
8909002250,0204,0.47R,1%
8902268408,,68nF,10%
8900633230,0204,20R,1%
0272230128,SO24,CS800,
1267368020,0805,1.78k,1%
8900106458,0204,63.4k,1%
8909014880,0603,121R,0.1%
8908418070,,470uH,
8902268409,,68nF,10%
8909B01051,HY_Bare Die,CPM2-1200-0025B,
8909002251,DO-214AA,P6SMB160AHE3,
8928430171,4.0x4.0x2.1 mm(LxWxH),2.2uH,
8909016441,0805,22nF,10%
8909B0628101,,35uF,5%
8902002451,1206,2.7nF,10%
8900106459,0204,64.9k,1%
8905509139,TSSOP-28,MC68HC908QC4VDRE,
1267368021,0805,2.37k,1%
8900633231,0204,20.5R,1%
1267362749,0402,20.5k,1%
890901525501,DFN1006-2,PZU884LS-B33-Q,
8909B03161,0402,100k,1%
8902912109,,22nF,5%
8909006721,LQFP48EP,MC33907NAE,
8900334161,0309,16R,2%
8905503301,0805,2.43k,1%
8902946401,,10nF,20%
3330A30221,,undefined,
1267367379,SOT353,NLV17SZ17DFT2G,
8905507751,0805,12.1k,1%
8900132571,0805,511k,1%
890901609901,0603,4.7nF,5%
8900629671,0204,536k,1%
8909B00381,Geometrie fehlt,KLEMMRAND EPA161,
8909B0296601,SMD18x20 VIB-proof,680uF,20%
8905959871,PSSO2,BSP762T,
8909B0649401,,HT25H363DET-1,
8909014881,0603,243R,0.1%
8928610081,SOT323,BAV99W,
1274486711,,undefined,
1274486712,,undefined,
8902002452,1206,3.3nF,10%
8900633232,0204,21R,1%
8909009582,BGA153,KLMAG2GEUF-B04QT,
8902222342,,2.2nF,10%
8909002252,DO-214AA,P6SMB300A01HM3_D,
8900629672,0204,549k,1%
8900334162,0309,160R,2%
8909014882,DFN1006BD-2,PESD1ETH10LS-Q,
8905503302,0805,931R,1%
8908418072,,1uH,
1036902072,BUCHSE,AMP-NR. 928991,
8900132572,0805,681k,1%
8909B00382,Geometrie fehlt,KLEMMRAND EPC,
8909016442,SOIC 16,AMC3311,
8905507752,0805,12.7k,1%
3330A30222,,undefined,
8909B01052,LFBGA416,SPC5777M,
8909B03162,0402,100R,1%
1267368022,0805,511R,1%
8909B00383,TO263,IPB108N15N3G,
8900633233,0204,21.5R,1%
8902002453,1206,3.9nF,10%
8908418073,,4.7uH,
8909B03163,0402,10k,1%
8900132573,0805,1M,1%
1267368023,0805,33.2R,1%
8900334163,0309,1.6k,2%
8909009583,BGA153,KLMBG4GEUF-B04QT,
8909B01053,LFBGA416,SPC57HM,
8909006723,0603,100nF,10%
8909002253,DO-214AA,P6SMB350AHE3,
8905507753,0805,1.33k,1%
8900629673,0204,562k,1%
8905503303,0805,54.9k,1%
8909016444,PG-DSO-36,1EDI3051AS,
8905503304,0805,28.7k,1%
8909B01054,LFBGA416,TC298T-ED,
8909009584,BGA153,KLMCG4JEUD-B04QT,
8903701714,C,47uF,10%
8902904064,,4.7uF,20%
8900334164,0309,16k,2%
8909B03164,0402,10R,1%
1267368024,0805,681R,1%
8900629674,0204,576k,1%
8902002454,1206,4.7nF,10%
8900633234,0204,22.1R,1%
8909002254,,LFTQSLT,
8909014884,45x3.45x45 mm,WMC598E-GL,
8905507754,0805,13.3k,1%
8900132574,0805,35.7k,1%
8908418074,,6.8uH,
8909006724,QFP64,SPC582B54E1CG00X,
8909B00385,0805,261R,0.5%
8909B03165,0402,12.1k,1%
8909B01055,LFBGA416,PPC5777M-ED,
8900633235,0204,22.6R,1%
8900629675,0204,590k,1%
1267368025,0805,147R,1%
8909016445,0603,100nF,10%
8909009585,BGA200,K4F8E3S4HD-GHCLT,
8909006725,QFP64,SPC58EC70E1F000,
8905503305,,5uH,
8902946405,,15nF,20%
8909014885,48x3.45x48 mm,AG590H,
1267331395,CHIP (1206),99999.99R,1 %
8902002455,1206,5.6nF,10%
8900334165,0309,160k,2%
8905507755,0805,14k,1%
3330A30226,,Fe-Heatsink 7x7x,
8909B03166,0402,14.7k,1%
8902002456,1206,6.8nF,10%
1270C11676,,undefined,
8908418076,,51uH,
8900629676,0204,604k,1%
8900132576,0805,5.36k,1%
8909016446,0603,100nF,10%
1267368026,0805,2.15R,1%
8909006726,DPAK,GD10HF60KDT4,
8909B00386,0805,681R,0.5%
8909002256,US8,NLV17SZ74USG,
8909014886,0603,1nF,10%
8909009586,BGA200,K4F6E3S4HM-THCLT,
8900334166,0309,1.6M,2%
8905507756,0805,147R,1%
8905503306,,10uH,
8900633236,0204,23.2R,1%
8902222346,,2.2nF,10%
8909B01056,BGA416,EMU57HM-ED,
8909B03167,0402,147R,1%
8909006727,SO8,ATA6561-GAQW,
8909014887,0402,22k,1%
6002JM0637,,undefined,
1267368027,0805,464k,1%
8900629677,0204,619k,1%
8905507757,0805,147k,1%
8905503307,,5.6uH,
8900132577,0805,169k,1%
3330A30227,,Fe-Heatsink 10x1,
8900633237,0204,23.7R,1%
8902002457,1206,8.2nF,10%
8909016447,0603,100nF,5%
8909002257,HY_FUER-HYBRID-SG,AD8202W-KGD-R7,
8909009587,BGA200,K4FBE3D4HM-THCLT,
8909B01057,165-ball FBGA,CY7C1364C,
1267362730,0402,2.61k,1%
8909009588,LFBGA489 20x20,RTL9068AAD-V2-GR,
8902001040,0805,39pF,5%
1267368028,0805,82.5R,1%
8909002258,18x20 wired,5.3mF,30%
8909016448,0402,22pF,2%
8900629678,0204,634k,1%
0272230470,HIQUAD64,CY315,
8908418078,,4.6uH,
8900441820,0922,8.2R,5%
8928610088,SOD*323,NSVBAT54HT1,
8905506340,DBC,100uOhm,5.5%
8909005290,0603,35.7k,0.1%
8905509120,0805,47R,1%
8905507758,0805,1.5k,1%
3330A30228,,Fe-Heatsink 15x1,
8900470440,0309,374k,1%
8900633238,0204,24.3R,1%
8902002458,1206,10nF,10%
8900326330,0207,3.3R,5%
8909014888,0402,220R,1%
8900507390,0617,3.9R,5%
8909006728,PG-LQFP-64-18,TLE9180C-21QK,
8909B03168,0402,15R,1%
8905959878,SO8,LMC6081IMX/E2000,
0272240286OA,TQFP128 epad,CS990DA,
8905507759,0805,150k,1%
8909005291,0603,40.2k,0.1%
8905957691,DIL16,SN54LS139J/KT,
8900470441,0309,383k,1%
8909003700W1,LQFP100,R7F701339EAFP#YJ,
8900625401,0204,10k,1%
0272230471,SOIC16L,CC196,
8900326331,0207,33R,5%
8900633239,0204,24.9R,1%
8909002259,1206,10uF,10%
1267362731,0402,147R,1%
8902002459,1206,12nF,10%
8902001041,0805,47pF,5%
8909003856T1,HQFP144,R7F701333EAFP#YJ,
8905959879,SOT353,74LVC1G14GW,
8909014889,0402,470k,1%
8909B03169,0402,1k,1%
8909016449,0402,22pF,2%
890900152801,0805,100R,1%
8909B0727701,48-LQFP,FS32K118LAT0VLFT,
8900507391,0617,39R,5%
1267368029,0805,2.74k,1%
8909B0755501,QFN32,undefined,
8905509121,0805,10R,1%
8900441821,0922,82R,5%
8905506341,B,10uF,10%
8900629679,0204,649k,1%
8900132579,0805,200R,1%
8909006729,QFP64,SPC58EC70E1E000,
8902946409,,22nF,20%
8909B01059,HY_Bare-die,TLE9180-C_B12_St,
8909B0636001,TO-277A,SS10P3HM3_A/H,
1277138052,HY_bare die,CL226BF,
8900326332,0207,330R,5%
8905509122,0805,680R,1%
8900507392,0617,390R,5%
8900470442,0309,392k,1%
8905506342,SC-74A,A3283LLHLT-T,
8900441822,0922,820R,5%
8905504782,0207,90.9R,1%
1267362732,0402,46.4R,1%
1270C63642,,ERF8-020-05.0-S-,
8905957692,DIL40,MC6821CP/KT,
8900625402,0204,10.2k,1%
0281D03452,,undefined,
0272230472,SOIC20,CC196,
8909005292,0603,41.2k,0.1%
8902001042,0805,56pF,5%
8909005293,0603,8.66k,0.1%
8905506343,SC-74A,A3280LLHLT-T,
8900507393,0617,3.9k,5%
1267362733,0402,215k,1%
8900625403,0204,10.5k,1%
8900441823,0922,8.2k,5%
8905957693,DIL40,MC6803U4CP/KT,
8900470443,0309,402k,1%
8905504783,0207,12R,1%
8902001043,0805,68pF,5%
8905509123,DO-214AB (SMC),UH3DHE3,
8900326333,0207,3.3k,5%
8900441824,0922,82k,5%
8900326334,0207,33k,5%
8900507394,0617,39k,5%
8902001044,0805,82pF,5%
8905509124,DO-214AA (SMB),UH2D,
8905506344,DPAK,SVD2955T4G,
8900470444,0309,412k,1%
8905504784,,CY7C1021CV26-15Z,
8905705624,TO220,RBDT93,
8900625404,0204,10.7k,1%
1267362734,0402,56.2k,1%
8909005294,0603,15k,0.1%
8900507395,0617,390k,5%
8900470445,0309,422k,1%
8901063015,,47R,10%
8900625405,0204,11k,1%
8900441825,0922,820k,5%
8905509125,DO-214AC(SMA),UH1DHE3,
8905957695,DIL24,ID8253-5B,
8905504785,,10uH,
1267362735,0402,3.83k,1%
8900326335,0207,330k,5%
8903426215,,3.3mF,50%
8905705625,TO220,RBDT95,
8902001045,0805,100pF,5%
8900625406,0204,11.3k,1%
8905957696,DIL28,TD27C256-25/85,
1270CY2926,,undefined,
8900441826,0922,8.2M,5%
8902001046,0805,120pF,5%
0272230476,HIQUAD64,CE100,
8900470446,0309,432k,1%
8900507396,0617,3.9M,5%
8905504786,,3.9uH,
8905509126,0402,26.1k,1%
1267362736,0402,147k,1%
8909005296,HY_Hybrid,uPA1930P,
8909005297,SOT23,PESD5V0U2BT/DG/B,
8905509127,0402,26.1k,1%
8900625407,0204,11.5k,1%
1267362737,0402,21.5R,1%
8900470447,0309,442k,1%
8928450077,2.2x1.4x1.4 mm,DLW21SZ900HQ2L;,
8905957697,PLCC32,AN27C256-25,
8905504787,TQFP144,ST10F276ES4-NT3-,
8902001047,0805,150pF,5%
8900507397,0617,39M,5%
8909014870,LFPAK56,BUK7Y9R9-80E,
8900601820,0922,8.2R,5%
8909016430,6.5 x 6.9,10uH,
1267368010,0805,46.4k,1%
8903701780,HY_A,3.3uF,10%
8905422000,T18,BZV40C7V5,
8905509128,416BPGA,MPC5567MZP132,
8900112910,0204,9.1R,5%
8900633220,0204,15.8R,1%
8900629660,0204,412k,1%
8905504788,QFP100,UPD70F3375A2,
8900312470,0309,4.7R,5%
1267362738,0402,34.8k,1%
8900316140,0309,28R,1%
8900438390,0719,3.9R,5%
8909B03150,HY_HY_0603,1nF,10%
8909005298,gmBGA,VG6640A..6J,
8900132560,0805,147k,1%
8900470448,0309,453k,1%
8909006710,SOIC-8,W25Q64CVSSAG,
8900625408,0204,11.8k,1%
1034486960,,undefined,
8902001048,0805,180pF,5%
8905957698,DIL40,80A31AH,
8905959860,P-DSO-8,TLE6259-2G,
8905504789,,5uH,
8909B0714301,MSOP8,NCV20062DMR2G,
8909B0510201,QFN (88) - 12.00 mm * 12.00 mm,DS90UH988-Q1,
8909016431,6.5 x 6.9,4.7uH,
8900112911,0204,91R,5%
8900625409,0204,12.1k,1%
8909B0799201,WSON-HR 8 (WF),TPS628523PAWDLSR,
8902001049,0805,220pF,5%
8900316141,0309,28.7R,1%
1267368011,0805,100k,1%
1034486961,,undefined,
8900601821,0922,82R,5%
8905509129,SOIC16,ISO7241CQDWRQ1,
8900132561,0805,150k,1%
1270E04991,,SG-Stecker EVO09,
8900334151,0309,15R,2%
1270E2234201,,A1363LKTTN-T,
8900470449,0309,464k,1%
8909014871,10x10x1 mm 72-pin LGA,Si4692-A10-AM,
8909005299,0402,22nF,10%
8900629661,0204,422k,1%
8903480791,,47uF,20%
8909B00371,,Klemmrand EPA091,
8905422001,T18,BZV40C8V2,
890901611701,5.6x5.2x2.8 mm(LxWxH),0.08mH,
8909009571,,PMIC dual Core /,
8900633221,0204,16.2R,1%
1267362739,0402,26.1k,1%
890901223601,"EF 28,9",EA 2002101151,
8900312471,0309,47R,5%
8900438391,0719,39R,5%
8909B03151,HY_HY_0603,220nF,10%
8909006711,2512,33m,0.5%
8909016432,SO-8L,SQJ768ELP-T1_GE3,
8900629662,0204,432k,1%
8900601822,0922,820R,5%
1037365972,,ST-Microelectron,
1267368012,0805,750R,1%
8909B03152,HY_HY_0603,4.7k,1%
890901223602,"EFD 30,6",EA 2002101153,
8905422002,T18,BZV40C8V7,
8900312472,0309,470R,5%
8900438392,0719,390R,5%
8909B00372,PG-DSO-8,TLE8250GVIO,
8905405142,DO35,BAV21,
8909014872,0603,165k,0.1%
8900334152,0309,150R,2%
8900112912,0204,910R,5%
8900316142,0309,29.4R,1%
8903701782,A,4.7uF,10%
8909006712,2512,15m,1%
8900633222,0204,16.5R,1%
8905959862,P-DSO-20,TLE6216G,
8900334153,0309,1.5k,2%
8900629663,0204,442k,1%
8900316143,0309,30.1R,1%
8905959863,TO252-5,BTS6133D,
0265C61023,Geometrie fehlt,DRO-DECKEL C-MUS,
8909016433,104-pin LFBGA,MV-Q3241-A3-WT11,
8900132563,0805,215k,1%
8900633223,0204,16.9R,1%
8909014873,0603,165k,0.1%
8905405143,SOD57,BYV12,
0281C02253,,undefined,
8905500493,SO8,MC33202DR2,
8900601823,0922,8.2k,5%
1267368013,0805,14.7k,1%
8909B03153,HY_TUMD2M,RF05VYM2STR,
8900312473,0309,4.7k,5%
8905422003,T18,BZV40C9V1,
8928920033,29x29x2.5 mm,R8A77960JA50BG#Y,
8909006713,2512,33m,0.5%
8900112913,0204,9.1k,5%
8900438393,0719,3.9k,5%
8909B00373,HY_sawn on foil,SIDC20D65D8,
1034486963,,undefined,
8900112914,0204,91k,5%
8900633224,0204,17.4R,1%
8909014874,DRR0012 (WSON),LM63635CAQDRRRQ1,
8900132564,0805,220k,1%
8900629664,0204,453k,1%
8900438394,0719,39k,5%
0281C02254,,undefined,
8909016434,0402,6.8pF,10%
8909006714,2512,15m,1%
8905422004,T18,BZV40C10,
8900334154,0309,15k,2%
1267368014,0805,31.6k,1%
8903701784,A,3.3uF,10%
8902222334,,2.2nF,10%
8900316144,0309,30.9R,1%
8905959864,PQFP64,MC68HC08AZ32AVFU,
8900312474,0309,47k,5%
8909009574,,PMIC quad Core /,
8900601824,0922,82k,5%
1034486964,,undefined,
8928610074,SOT343,BAS40-07W,
8909B00374,HY_sawn on foil,SIGC100T60RQ,
8909B03154,HY_HY_0402,51R,1%
8900316145,0309,31.6R,1%
8909B00375,HY_FUER-HYBRID-SG,S6003TCS,
8905422005,T18,BZV40C11,
8900112915,0204,910k,5%
1267368015,0805,316R,1%
1034486965,,undefined,
8909016435,3mm * 4.9mm,INA241A3QDGKRQ1,
8909014875,SOT - 5X3,TPS61033QDRLRQ1,
8900312475,0309,470k,5%
8909009575,0402,15nF,10%
1275502035,,undefined,
8900629665,0204,464k,1%
8909B03155,HY_HY_0402,10pF,5%
8900601825,0922,820k,5%
8900438395,0719,390k,5%
8900334155,0309,150k,2%
8909006715,1210,22uF,10%
8900633225,0204,17.8R,1%
8900601826,0922,8.2M,5%
8900438396,0719,3.9M,5%
1274478196,SMD,53261-0271,
8909009576,Power PAK 8x8 (LFPAK88),SQJQ144AE-T2_GE3,
8909014876,0603,60.4R,0.1%
8900132566,0805,332k,1%
8909006716,1210,22uF,10%
8900334156,0309,1.5M,2%
8909B03156,LFBGA292,SAK-TC397XT-256F,
1267368016,0805,5.62k,1%
8900316146,0309,32.4R,1%
1270E23646,,244836,
8905422006,T18,BZV40C12,
8900112916,0204,9.1M,5%
8900629666,0204,475k,1%
8909016436,PG-LQFP-64,TLF4D985QKV03 A3,
8900633226,0204,18.2R,1%
8905959866,P-DSO-20,TLE6211G-B2,
8909B00376,HY_FUER-HYBRID-SG,S2001,
8909B03157,"SMD 10x10,5",330uF,20%
1270E23647,,234198,
8905405147,DO35,BAV21/SOD27/REEL,
8900316147,0309,33.2R,1%
8905500497,,8000kHz,0.3%
8928430227,ACT1210L-101,ACT1210L-101-2P-,
8900633227,0204,18.7R,1%
8909B00377,TQFP32ePAD,CJ135-C1,
8905422007,T18,BZV40C13,
8909014877,0603,121R,0.1%
1034486967,,undefined,
8909009577,2520,42MHz,100ppm
8900132567,0805,422k,1%
8900601827,0922,82M,5%
1274478197,,undefined,
8900629667,0204,487k,1%
8909006717,SO8,TJA1057GT/3,
1267368017,0805,1.21k,1%
8900438397,0719,39M,5%
8909016438,104-pin LFBGA,MV-Q3244-A3-WT11,
8902001030,0805,5.6pF,5%
8905957700,DIL28,TD27C256-2,
8900633228,0204,19.1R,1%
8909003740,,255uH,
8900316148,0309,34R,1%
1267368018,0805,2k,1%
1267367390,SOIC 16,ISO7742QDWRQ1,
8909005300,0402,47nF,10%
8900629668,0204,499k,1%
8905509110,SOT669,BUK7Y08-40B,
8900132568,0805,464k,1%
8928430228,3.5x2.0x2.8,3.3uH,
8909006718,VQFN-48-31,TLE9843-2QX,
1275505000,,IMSA-10128B-60H-,
1270E23648,,254590,
8900470430,0309,294k,1%
1267369108,,14uH,
8900400360,0414,3.6R,2%
8638803680,,59S2AQ-40MT5-A_1,
1034486968,,undefined,
8909014878,0603,243R,0.1%
8905422008,T18,BZV40C14,
8900208330,,3.3R,5%
8905504770,HY_FUER-HYBRID-SG,NP105N03ZUGW-U,
8909B03159,0402,1.21k,1%
8902968401,,10nF,20%
8905957701,DIL28,AD27C256-20/125,
8905422009,T18,BZV40C15,
1267368019,0805,21.5k,1%
8901009041,,470m,1%
8903701789,A,1uF,10%
8909B0602101,TSSOP,CAVCB164245QDGGR,
8909005301,LQFP80,R7F7010643AFP-C#,
8902001031,0805,6.8pF,5%
8909003741,HY_1206,10uF,10%
8900316149,0309,34.8R,1%
8905500499,0603,10nF,10%
8900633229,0204,19.6R,1%
8909B0638701,289-LFBGA (14x14),MIMXRT1175AVM8A,
8900470431,0309,301k,1%
1270E3663801,,Kuehlplatte 10x15,
8900208331,,33R,5%
8909014879,0603,60.4R,0.1%
8909016439,LFBGA,SJA1110DEL,
8908418069,,475uH,
0272230481,SO24,CJ125,
1270E23649,,204632,
8909B0453801,,0.022uF,3%
1267367391,,AMC1300BQDWVRQ1,
8900629669,0204,511k,1%
8909B0666501,DFN 4-Pin,SHT41A-AWLB-R3,
0272240286NA,TQFP128 epad,CS990CA,
8909006719,TSSOP-14,NCV20074DTBR2G,
8900400361,0414,36R,2%
8905509111,,B39431-R990-H110,
890900882001,0603,825R,1%
8902001032,0805,8.2pF,5%
892892036602,QFN-34,MPQ8875AGVE0101A,
8902968402,,15nF,20%
8901009042,,1R,1%
8900470432,0309,309k,1%
8900400362,0414,360R,2%
8900208332,,330R,5%
8905957702,DIL40,P80A39AHL/KT,
8909003742,HY_0402,22nF,10%
0272240286NB,TQFP128 epad,CS990NB,
8902001033,0805,10pF,5%
1267367393,HVSON8,TCAN1044AVDRBRQ1,
8909003743,HY_0402,33nF,10%
0272230483,QFP64,CY332,
8900470433,0309,316k,1%
8905506333,TQFP32,STM8AH6126TD,
8905957703,DIL14,"CA139AEX,TYP1/KT",
8900208333,,3.3k,5%
8900400363,0414,3.6k,2%
8901009043,,200m,1%
8905957704,DIL14,HEF4013BP,
8902001034,0805,12pF,5%
8900470434,0309,324k,1%
8900400364,0414,36k,2%
8905506334,DPAK-SlugUp,FDD8444-SLUGUP,
1267367394,SOIC16,ISO7762QDWRQ1,
8900208334,,33k,5%
8909003744,HY_0603,100nF,10%
8905509115,HY_0402,220k,1%
0272230485,PLCC44,CG683,
1267367395,SOIC (D),ISO7710FQDRQ1,
8900470435,0309,332k,1%
8905957705,,TAF2453G,
8900208335,,330k,5%
8902001035,0805,15pF,5%
8900400365,0414,360k,2%
8902001036,0805,18pF,5%
8900400366,0414,3.6M,2%
1267367396,TSSOP20,74HCT244PW,
8905957706,DIL8,CA3130AEX,
8900470436,0309,340k,1%
8909003746,SOT23-5,TPS79915QDDCRQ1,
8905506336,,18.5uH,
8900400367,0414,36M,2%
8905506337,SOIC-8,SN65HVD1040AQDRR,
8909003747,121-ball BGA,MT42L32M16D1AB-2,
8902001037,0805,22pF,5%
8900470437,0309,348k,1%
0272230487,HIQUAD64,CS241BE,
8905509117,0805,330nF,10%
8905957707,PLCC44,MAF80A51AHWP,
8905504777,HY_FUER-HYBRID-SG,TLE7189CC11,
8902001038,0805,27pF,5%
1267368040,0805,147k,1%
8900629650,0204,324k,1%
8902212148,,12pF,10%
1270KC0628,,1270kc0628,
8900633210,0204,12.4R,1%
8909006780,WQFN (16),TPS55340QRTERQ1,
8900470438,0309,357k,1%
3330A30200,,Federkontakt,
8900316130,0309,22.1R,1%
8909009560,,MX25L6433FM2R-08,
1277138068,HY_FUER-HYBRID-SG (Bare Die),CD300A,
8909014860,0402,47.5k,0.1%
8900431620,0414,6.2R,2%
2261335301,BLECH,,
1270KC0629,,,
890900726401,,SMBJ33CA TG HE3,
8905957709,DIL40,MAF80A52AHP,
8909B0598001,3.2 x 2.5 x 0.9mm,100MHz,
8909B0737501,80-LQFP,XMSPM0G3519SPNR,
8902212149,1206,470pF,10%
8900316131,0309,22.6R,1%
8900629651,0204,332k,1%
8909016421,VQFNP,DS90UB9724TRURRQ,
8909B0497101,,0.82uF,10%
8909B0653101,,HT20X1068ST,
8900633211,0204,12.7R,1%
8900470439,0309,365k,1%
8928430211,6.36x6.56x3.1mm,22uH,
8909009561,"6,3 x 5,8 mm",47uF,20%
8909014861,0402,47.5k,0.1%
8905506339,TQFP32,ATMEGA8-16AU,
8909B0701701,0402,45.3k,0.1%
8902222321,,2.2nF,10%
8900132551,0805,56.2k,1%
8900431621,0414,62R,2%
8905509119,SO16,ULQ2003ADRRBG4,
8909006781,1206,BLM31PG601SH1,
8903701771,,22uF,20%
1267368041,0805,68.1k,1%
890550966201,1206,2R,1%
8900357091,0207,910m,5%
8902001039,0805,33pF,5%
8909B00362,HY_FUER-HYBRID-SG (Bare Die),CD300,
1037365982,,STM8AP6268TC,
8900132552,0805,61.9k,1%
8909006782,BGA134,EDB4432BBBJ-1DAA,
8900629652,0204,340k,1%
990406482,,,
2261335302,BLECH,,
8909016422,1.1x0.9x0.45mm(LxWxH),B39162B2618P810,
8909009562,TFBGA225,88Q5054-B0-BZA2A,
8900633212,0204,13R,1%
8900431622,0414,620R,2%
8905405132,SOT23,BAV99,
1267368042,0805,681k,1%
8909014862,65x65x4.55mm(LxWxH),QAM-8775P-0-BGM1,
8900316132,0309,23.2R,1%
1267368043,0805,3.3k,1%
8909006783,N5,TG110-AEX50N5LF,
8900629653,0204,348k,1%
8909B00363,HIQUAD64,CS510B,
8909016423,,FSSCAK1N1G58H4PJ,
8900633213,0204,13.3R,1%
8900316133,0309,23.7R,1%
8900431623,0414,6.2k,2%
8909014863,0603,60.4R,0.1%
8903701773,HY_B,33uF,10%
8909006784,B,10uF,10%
8900431624,0414,62k,2%
8909009564,USON-8 2x3mm,W25Q40CVUXSG,
8900633214,0204,13.7R,1%
8900316134,0309,24.3R,1%
8900629654,0204,357k,1%
8909B00364,,Klemmrand EPA161,
8900132554,0805,68.1k,1%
8928430214,2.2x1.2x1.8 mm,0.47uH,
1267368044,0805,768R,1%
8909014864,0603,121R,0.1%
1271390205,,undefined,
8900316135,0309,24.9R,1%
8909014865,0603,243R,0.1%
8909006785,0603,0.1m,100%
1267368045,0805,8.2k,1%
8909B00365,HSON8,VA0189-SSA-AY,
8900431625,0414,620k,2%
8909009565,8-SOIC 150-mil,W25X20CVSNSG,
8909016425,EP6,ATWPEP060708B3E2,
8900132555,0805,75k,1%
8900633215,0204,14R,1%
8900629655,0204,365k,1%
8909009566,37x30X26,1mH,
8900633216,0204,14.3R,1%
1267368046,0805,9.1k,1%
8909B00366,Geometrie fehlt,EPA1612-T,
8900629656,0204,374k,1%
8903701776,D,47uF,10%
8909016426,THT (32 x 22 x 37),6.8uF,10%
8900316136,0309,25.5R,1%
8909006786,0603,0.2m,5%
8909014866,,QTWR40-29,
1271390206,,undefined,
8909006787,SOT353-1,74AHCT1G126GW,
8900132557,0805,82.5k,1%
8900633217,0204,14.7R,1%
1267368047,0805,4.3k,1%
8909009567,37x30X24.2,1mH,
8900316137,0309,26.1R,1%
8900629657,0204,383k,1%
8909016427,LQFP48,SFS2633HMDBCADR2,
1271390207,,undefined,
8909009568,LGA - 100,LARA-R202,
8909003730,axial,1000uF,30%
8900643470,0411,4.7R,5%
8900634690,0204,845k,1%
8900629658,0204,392k,1%
8902222328,,2.2nF,80%
8905509180,0603,20k,0.5%
8909016428,16 TQFN-EP,MAX20480DATE8/VY,
8900633218,0204,15R,1%
